tier,priority,company,stand,what_they_do,who_to_look_for,why,linkedin_url_PASTE_HERE,contact_name,contact_title
2 LOGISTICS,14,EXPRESS TEAM FREIGHT,30,Freight transport.,Owner or Finance lead,"Border trucking, peso settlement likely.",,,
2 LOGISTICS,15,NATIONAL TRANSPORT SERVICES,49,Transport services.,CFO or Owner,Same.,,,
2 LOGISTICS,16,SOUTH EAST FREIGHT LINES,61,Freight lines.,CFO or Owner,Same.,,,
2 LOGISTICS,17,UNIQUE FREIGHT TRANSPORT,209,Freight transport.,Owner or Finance lead,Same.,,,
2 LOGISTICS,18,MUNOZ TRUCKING,34,Cross border trucking.,Owner,"Owner operated, decision sits in one place.",,,
2 LOGISTICS,19,TRANSMARITIME,7,Customs and logistics. Vicente Miranda (CEO) already in your network.,CEO. Already connected.,"Warm. Check country first, may be Mexican.",,,
3 MFG,20,W SILVER RECYCLING,60,"Metal recycling, El Paso. Cross border scrap flows.",CFO or Controller,"Local, real cross border volume, mid market.",,,
3 MFG,21,TW METALS,117,Metals distribution.,Controller or Director of Finance,Metals pricing and import exposure.,,,
3 MFG,22,COAST ALUMINUM,162,Aluminium distribution.,CFO or Controller,Import exposure on metal.,,,
3 MFG,23,UNIVERSAL METAL PRODUCTS,37,Metal components manufacturing.,CFO or Controller,US manufacturer with Mexico operations likely.,,,
3 MFG,24,STANCO METAL,226,Metal products.,Owner or Controller,Mid market manufacturer.,,,
3 MFG,25,PROMINOX USA,203,"Stainless steel products, US entity of a Mexican group.",US Finance lead or GM,USA in the name suggests a US entity. Confirm.,,,
3 MFG,26,JONES PLASTIC & ENGINEERING,"35, 36",Plastic injection moulding.,CFO or Controller,"US manufacturer, Mexico plants common in this sector.",,,
3 MFG,27,MISSION PLASTICS,29,Plastics manufacturing.,Owner or CFO,Same.,,,
3 MFG,28,BOARDMAN MOLDED INTERNATIONAL,175,"Moulded products, international.",CFO or President,International in the name.,,,
3 MFG,29,KEATS MANUFACTURING,195,Precision metal stamping.,CFO or Controller,Mid market US manufacturer.,,,
3 MFG,30,ACCUDYN,9,Precision components.,CFO or Owner,Mid market.,,,
3 MFG,31,ADMIRAL CABLE,219,Cable and wire.,CFO or Owner,Import exposure.,,,
3 MFG,32,ABLE INDUSTRIAL PRODUCTS,"22, 17",Industrial products supply.,Owner or Finance lead,"Distribution, import exposure.",,,
3 MFG,33,CONVEYORS & MATERIALS HANDLING,68,Material handling equipment.,CFO or Owner,Equipment import or Mexico install work.,,,
3 MFG,34,TEKMART INTERNATIONAL,132,Electronics and components.,CFO or Owner,International sourcing.,,,
3 MFG,35,VEXOS MANUFACTURING,178,Electronics manufacturing services.,CFO or Controller,EMS with cross border plants.,,,
3 MFG,36,SMTC,163,Electronics manufacturing services.,CFO or Controller,Same.,,,
3 MFG,37,MGS HEALTHCARE MANUFACTURING,189,Medical device manufacturing.,CFO or Controller,"Regulated, likely Mexico plants.",,,
3 MFG,38,SELTEK INTERNATIONAL,53,International supply.,Owner or Finance lead,International in the name.,,,
3 MFG,39,FRANKLIN MOUNTAIN PACKAGING,F,"Packaging, El Paso.",Owner or Controller,"Local El Paso, border flows.",,,
3 MFG,40,CYH PACKAGING,16,Packaging.,Owner or CFO,Same sector.,,,
REFERRAL,41,EL PASO FOREIGN TRADE ZONE,46,FTZ administration.,Director,Not a prospect. Introductions to every importer using the zone.,,,
REFERRAL,42,MVEDA New Mexico Borderplex,106,Regional economic development.,Director or BizDev lead,Not a prospect. Knows every manufacturer moving into the region.,,,
REFERRAL,43,TEXAS MANUFACTURING ASSISTANCE CENTER,146,Manufacturing support programme.,Director,Not a prospect. Referral source into Texas manufacturers.,,,
REFERRAL,44,INDEX JUAREZ,125,Maquiladora industry association.,Director,Not a prospect. Association reaching every maquila in Juarez.,,,
